ID,Nombre,Descripción,Número de Serie,ID Personalizado de Activo,Categoría Principal,Subcategoría,Uso Específico,Parque,Amenidad,Descripción de Ubicación,Latitud,Longitud,Fabricante,Modelo,Número de Serie Técnico,Material,Dimensiones/Capacidad,Fecha de Instalación,Fecha de Última Inspección,Vida Útil Estimada (años),Estado,Condición,Historial de Mantenimiento,Fecha de Adquisición,Costo de Adquisición (MXN),Valor Actual (MXN),Fuente de Financiamiento,Persona Responsable,Área Asignada,URL Manual de Mantenimiento,Políticas de Uso,Frecuencia de Mantenimiento,Fecha de Último Mantenimiento,Fecha de Próximo Mantenimiento,Vida Útil Esperada (meses),Código QR,Notas Adicionales,Fecha de Creación,Última Actualización
123466,Barras paralelas,Barras paralelas estructura metálica para entrenamientos de fuerza y resistencia.,6553,,Áreas deportivas,Fitness,,Parque el Capitán,,,25.66521872,-100.360811,EcoPark Systems,ProLine,SN-83019,Madera,125 m²,04/05/22,29/04/24,5,Dañado,Regular,,25/12/22,147717,118997,Ingreso propio,Sofía Vargas,Administración,http://manuales.parques.org/mobiliario.pdf,Permitido solo con supervisión de personal.,,22/12/22,20/06/23,36,,Requiere inspección adicional en temporada de lluvias.,09/01/16,09/09/25 23:20
123467,Bicicleta fija outdoor,Bicicleta fija outdoor aparato cardiovascular resistente a intemperie.,6554,,Áreas deportivas,Fitness,,Parque Metropolitano de León,,,31.72,-106.43,EcoPark Systems,SafePlay,SN-17902,Mixto,113 m²,24/07/19,25/09/24,20,Retirado,Malo,,14/06/21,212956,107222,Concesión,Juan Pérez,Seguridad,http://manuales.parques.org/mantenimientoX.pdf,Permitido solo con supervisión de personal.,,10/07/24,01/01/26,36,,Plan de mejora programado.,31/03/15,09/09/25 23:20
123468,Máquina de remo exterior,Máquina de remo exterior equipo aeróbico para brazos y espalda.,6555,,Áreas deportivas,Fitness,,Gran Parque La Plancha,,,20.97844437,-89.61172739,PlayTech,X100,SN-71976,Plástico,99 m²,01/02/22,11/12/24,25,Activo,Bueno,,27/06/15,44181,25931,Concesión,Juan Pérez,Administración,http://manuales.parques.org/mantenimientoX.pdf,Uso exclusivo dentro del parque.,,27/01/24,25/07/24,12,,Revisión anual obligatoria.,04/06/19,09/09/25 23:20
123469,Banco de abdominales,Banco de abdominales banco inclinado para fortalecer abdomen.,6556,,Áreas deportivas,Fitness,,Bosque Los Colomos,,,20.70504496,-103.3902293,AquaSolutions,HydroX,SN-53035,Plástico,73 m²,19/07/25,02/03/25,20,En Mantenimiento,Excelente,,21/11/21,227261,73581,Ingreso propio,Luis Romero,Operación,http://manuales.parques.org/deportivo.pdf,Uso comunitario con previa reservación.,,05/04/22,31/03/23,60,,Activo en óptimas condiciones.,04/12/16,09/09/25 23:20
123470,Prensa de pecho,Prensa de pecho aparato outdoor para trabajar músculos pectorales.,6557,,Áreas deportivas,Fitness,,Parque Las Ribieras ,,,24.82111084,-107.4005941,CityInfra,EcoFlex,SN-59693,Madera,49 m²,17/06/22,20/03/23,25,Dañado,Regular,,04/07/16,267491,97952,Concesión,Luis Romero,Operación,http://manuales.parques.org/deportivo.pdf,Uso exclusivo dentro del parque.,,31/08/24,22/02/26,36,,Revisión anual obligatoria.,28/10/17,09/09/25 23:20
123471,Escaladora metálica,Escaladora metálica estructura de escalones para ejercicio aeróbico.,6558,,Áreas deportivas,Fitness,,Jardín Botánico de Culiacán,,,24.82376,-107.384967,UrbanPlay,ProLine,SN-97489,Mixto,85 m²,08/10/20,03/09/24,25,Retirado,Malo,,20/02/17,335159,211484,Donación,Sofía Vargas,Eventos,http://manuales.parques.org/mobiliario.pdf,Uso comunitario con previa reservación.,,20/10/23,14/10/24,24,,Requiere inspección adicional en temporada de lluvias.,15/12/15,09/09/25 23:20
123472,Máquina elíptica outdoor,Máquina elíptica outdoor aparato de bajo impacto para cardio.,6559,,Áreas deportivas,Fitness,,Parque Flor del Bosque,,,19.0211,-98.1011,EcoPark Systems,ProLine,SN-71594,Plástico,136 m²,21/07/22,10/07/22,20,Activo,Bueno,,26/12/16,421379,172763,Ingreso propio,Juan Pérez,Eventos,http://manuales.parques.org/mobiliario.pdf,Permitido solo con supervisión de personal.,,10/04/23,04/04/24,12,,Activo en óptimas condiciones.,29/04/17,09/09/25 23:20
123473,Máquina de dominadas asistidas,Máquina de dominadas asistidas estación para brazos y espalda.,6560,,Áreas deportivas,Fitness,,Parque Cultural Higalguense,,,20.09493696,-98.77239353,SafeCity,SafePlay,SN-36179,Acero,167 m²,26/12/22,17/09/23,10,En Mantenimiento,Excelente,,11/07/17,355238,194315,Ingreso propio,Juan Pérez,Operación,http://manuales.parques.org/deportivo.pdf,Restringido en horarios nocturnos.,,15/09/24,10/09/25,12,,Activo en óptimas condiciones.,14/10/20,09/09/25 23:20
123474,Rueda de estiramiento,Rueda de estiramiento aro metálico para movilidad articular.,6561,,Áreas deportivas,Fitness,,Parque Ecológico Explora,,,21.1215,-101.682,GreenBuild,X100,SN-41561,Madera,17 m²,14/08/23,11/05/22,25,Dañado,Regular,,11/01/16,346432,208722,Donación,Ana Torres,Administración,http://manuales.parques.org/deportivo.pdf,Cumplir normas de seguridad vigentes.,,23/12/22,18/12/23,120,,Pendiente de reposición de piezas menores.,19/02/15,09/09/25 23:20
123475,Máquina de extensión de piernas,Máquina de extensión de piernas aparato para fortalecer muslos.,6562,,Áreas deportivas,Fitness,,Parque Fundidora,,,25.675,-100.286,SafeCity,X100,SN-18609,Mixto,98 m²,20/06/20,18/08/24,10,Retirado,Malo,,22/11/16,145786,77681,Ingreso propio,Juan Pérez,Eventos,http://manuales.parques.org/mantenimientoX.pdf,Permitido solo con supervisión de personal.,,25/01/22,19/07/23,12,,Revisión anual obligatoria.,05/04/15,09/09/25 23:20
123476,Cancha de fútbol rápido,Cancha de fútbol rápido campo reducido con porterías.,6563,,Áreas deportivas,Canchas,,Bosque de Chapultepec,,,19.4204,-99.1819,AquaSolutions,HydroX,SN-28050,Mixto,175 personas,20/01/21,25/07/24,5,Activo,Bueno,,22/09/17,255418,133550,Patrocinio,Luis Romero,Seguridad,http://manuales.parques.org/mantenimientoX.pdf,Uso exclusivo dentro del parque.,,14/12/22,09/12/23,60,,Plan de mejora programado.,24/09/18,09/09/25 23:20
123477,Cancha de básquetbol,Cancha de básquetbol superficie con tableros y aros.,6564,,Áreas deportivas,Canchas,,Parque Tangamanga I,,,22.144,-101.019,EcoPark Systems,HydroX,SN-89972,Acero,74 personas,04/09/22,25/05/23,10,En Mantenimiento,Excelente,,14/10/16,260980,148382,Patrocinio,María López,Administración,http://manuales.parques.org/mantenimientoX.pdf,Cumplir normas de seguridad vigentes.,,15/12/23,09/12/24,24,,Plan de mejora programado.,16/01/16,09/09/25 23:20
123478,Cancha de voleibol,Cancha de voleibol espacio con red reglamentaria.,6565,,Áreas deportivas,Canchas,,Parque Metropolitano de Guadalajara,,,20.7167,-103.45,UrbanPlay,EcoFlex,SN-93792,Mixto,93 personas,26/11/22,02/03/24,20,Dañado,Regular,,19/09/21,257470,92542,Presupuesto municipal,Sofía Vargas,Eventos,http://manuales.parques.org/deportivo.pdf,Cumplir normas de seguridad vigentes.,,04/02/23,03/08/23,24,,Revisión anual obligatoria.,19/05/18,09/09/25 23:20
123479,Cancha de tenis,Cancha de tenis superficie plana con red central.,6566,,Áreas deportivas,Canchas,,Parque Bicentenario,,,19.478,-99.198,SafeCity,X100,SN-55545,Acero,84 personas,03/03/18,25/03/22,20,Retirado,Malo,,20/10/19,24490,10576,Patrocinio,Sofía Vargas,Seguridad,http://manuales.parques.org/mantenimientoX.pdf,Permitido solo con supervisión de personal.,,09/10/23,03/10/24,120,,Activo en óptimas condiciones.,13/05/17,09/09/25 23:20
123480,Cancha de pádel,Cancha de pádel cancha cerrada con muros.,6567,,Áreas deportivas,Canchas,,Parque La Mexicana,,,19.36,-99.28,AquaSolutions,EcoFlex,SN-77922,Madera,191 personas,30/04/22,27/06/24,5,Activo,Bueno,,27/11/20,325881,188735,Patrocinio,María López,Mantenimiento,http://manuales.parques.org/deportivo.pdf,Permitido solo con supervisión de personal.,,15/10/23,12/04/24,12,,Activo en óptimas condiciones.,06/12/15,09/09/25 23:20
123481,Campo de béisbol infantil,Campo de béisbol infantil espacio deportivo para ligas menores.,6568,,Áreas deportivas,Campos,,Parque Rufino Tamayo,,,25.65,-100.36,GreenBuild,ProLine,SN-67863,Plástico,2 personas,16/04/23,05/07/23,5,En Mantenimiento,Excelente,,04/09/20,229111,195661,Ingreso propio,María López,Seguridad,http://manuales.parques.org/deportivo.pdf,Cumplir normas de seguridad vigentes.,,23/05/24,14/11/25,120,,Revisión anual obligatoria.,04/10/18,09/09/25 23:20
123482,Cancha de softbol,Cancha de softbol campo pequeño para recreación.,6569,,Áreas deportivas,Canchas,,Parque Central Ciudad Juárez,,,20.99,-89.63,SafeCity,SafePlay,SN-60027,Mixto,116 personas,22/07/20,29/01/22,5,Dañado,Regular,,17/11/18,138801,110922,Ingreso propio,Juan Pérez,Mantenimiento,http://manuales.parques.org/deportivo.pdf,Permitido solo con supervisión de personal.,,26/04/23,20/04/24,12,,Requiere inspección adicional en temporada de lluvias.,12/12/20,09/09/25 23:20
123483,Cancha multiusos,Cancha multiusos superficie adaptable para deportes variados.,6570,,Áreas deportivas,Canchas,,Parque Guanajuato Bicentenario,,,21.02,-89.65,CityInfra,ProLine,SN-19678,Madera,134 personas,03/12/20,13/04/23,25,Retirado,Malo,,07/12/17,32393,21387,Concesión,Ana Torres,Administración,http://manuales.parques.org/mantenimientoX.pdf,Restringido en horarios nocturnos.,,25/04/20,22/10/20,120,,Pendiente de reposición de piezas menores.,22/05/19,09/09/25 23:20
123484,Pista de patinaje,Pista de patinaje área lisa para patinadores.,6571,,Áreas deportivas,Pistas,,Parque el Capitán,,,25.66521872,-100.360811,CityInfra,EcoFlex,SN-46340,Plástico,81 m²,04/10/21,16/05/23,15,Activo,Bueno,,08/09/21,448213,187555,Concesión,Ana Torres,Mantenimiento,http://manuales.parques.org/mantenimientoX.pdf,Cumplir normas de seguridad vigentes.,,20/11/21,15/11/22,12,,Activo en óptimas condiciones.,27/01/15,09/09/25 23:20
123485,Cancha de frontón,Cancha de frontón muro para rebotes de pelota.,6572,,Áreas deportivas,Canchas,,Parque Metropolitano de León,,,31.72,-106.43,PlayTech,UrbanMax,SN-52431,Plástico,45 personas,04/02/24,08/03/23,20,En Mantenimiento,Excelente,,14/03/22,255611,149148,Patrocinio,Ana Torres,Eventos,http://manuales.parques.org/infraestructura.pdf,Permitido solo con supervisión de personal.,,07/01/21,01/07/22,12,,Plan de mejora programado.,23/11/19,09/09/25 23:20
123486,Equipo de salto con garrocha,Equipo de salto con garrocha pértiga y colchón para saltos.,6573,,Áreas deportivas,Pistas,,Gran Parque La Plancha,,,20.97844437,-89.61172739,UrbanPlay,EcoFlex,SN-55816,Acero,75 m²,09/08/24,15/12/22,15,Dañado,Regular,,26/02/16,279063,245903,Patrocinio,María López,Administración,http://manuales.parques.org/infraestructura.pdf,Uso comunitario con previa reservación.,,23/11/24,18/11/25,60,,Pendiente de reposición de piezas menores.,27/09/19,09/09/25 23:20
123487,Juego de vallas reglamentarias,Juego de vallas reglamentarias obstáculos ajustables para competencias.,6574,,Áreas deportivas,Pistas,,Bosque Los Colomos,,,20.70504496,-103.3902293,SafeCity,UrbanMax,SN-53820,Acero,198 m²,31/07/20,27/09/23,20,Retirado,Malo,,23/01/17,97235,87030,Concesión,Carlos Sánchez,Eventos,http://manuales.parques.org/deportivo.pdf,Uso exclusivo dentro del parque.,,24/01/21,19/01/22,60,,Plan de mejora programado.,08/10/16,09/09/25 23:20
123488,Colchoneta de salto de altura,Colchoneta de salto de altura base acolchada para caídas.,6575,,Áreas deportivas,Pistas,,Parque Las Ribieras ,,,24.82111084,-107.4005941,GreenBuild,GreenLife,SN-66459,Acero,31 m²,02/06/24,23/04/22,5,Activo,Bueno,,26/09/15,98098,51241,Patrocinio,Luis Romero,Eventos,http://manuales.parques.org/mobiliario.pdf,Restringido en horarios nocturnos.,,20/11/24,15/11/25,60,,Activo en óptimas condiciones.,01/07/18,09/09/25 23:20
123489,Disco de lanzamiento,Disco de lanzamiento implemento circular de atletismo.,6576,,Áreas deportivas,Pistas,,Jardín Botánico de Culiacán,,,24.82376,-107.384967,GreenBuild,HydroX,SN-29347,Acero,177 m²,21/11/18,18/09/23,25,En Mantenimiento,Excelente,,17/05/20,215452,192639,Donación,Carlos Sánchez,Administración,http://manuales.parques.org/infraestructura.pdf,Uso exclusivo dentro del parque.,,29/01/21,23/07/22,24,,Plan de mejora programado.,07/09/15,09/09/25 23:20
123490,Jabalina,Jabalina lanza ligera para pruebas de campo.,6577,,Áreas deportivas,Pistas,,Parque Flor del Bosque,,,19.0211,-98.1011,SafeCity,ProLine,SN-79616,Madera,50 m²,14/03/21,20/07/25,25,Dañado,Regular,,11/11/21,84704,60229,Concesión,Ana Torres,Operación,http://manuales.parques.org/deportivo.pdf,Cumplir normas de seguridad vigentes.,,07/01/20,30/06/21,60,,Pendiente de reposición de piezas menores.,25/09/19,09/09/25 23:20
123491,Bala de impulso,Bala de impulso esfera metálica para lanzamiento.,6578,,Áreas deportivas,Pistas,,Parque Cultural Higalguense,,,20.09493696,-98.77239353,GreenBuild,EcoFlex,SN-65471,Acero,142 m²,03/06/24,05/05/24,15,Retirado,Malo,,10/12/20,146385,111435,Donación,Luis Romero,Mantenimiento,http://manuales.parques.org/deportivo.pdf,Uso comunitario con previa reservación.,,18/09/24,17/03/25,12,,Revisión anual obligatoria.,18/05/16,09/09/25 23:20
123492,Cronómetro digital,Cronómetro digital dispositivo de medición de tiempos.,6579,,Áreas deportivas,Pistas,,Parque Ecológico Explora,,,21.1215,-101.682,UrbanPlay,GreenLife,SN-11591,Acero,7 m²,05/03/19,28/06/23,25,Activo,Bueno,,27/11/22,73766,33000,Presupuesto municipal,María López,Mantenimiento,http://manuales.parques.org/mantenimientoX.pdf,Uso comunitario con previa reservación.,,01/07/20,23/12/21,60,,Requiere inspección adicional en temporada de lluvias.,23/01/20,09/09/25 23:20
123493,Conos de marcaje,Conos de marcaje señalizadores plásticos de entrenamiento.,6580,,Áreas deportivas,Pistas,,Parque Fundidora,,,25.675,-100.286,EcoPark Systems,X100,SN-75136,Acero,73 m²,04/08/22,22/04/22,20,En Mantenimiento,Excelente,,10/06/18,187039,167624,Concesión,Ana Torres,Mantenimiento,http://manuales.parques.org/infraestructura.pdf,Restringido en horarios nocturnos.,,13/03/20,04/09/21,12,,Requiere inspección adicional en temporada de lluvias.,11/06/16,09/09/25 23:20
123494,Pértiga de entrenamiento,Pértiga de entrenamiento barra flexible para saltos.,6581,,Áreas deportivas,Pistas,,Bosque de Chapultepec,,,19.4204,-99.1819,AquaSolutions,GreenLife,SN-76795,Acero,8 m²,25/02/23,05/08/24,25,Dañado,Regular,,06/05/21,34170,15879,Donación,Ana Torres,Jardinería,http://manuales.parques.org/infraestructura.pdf,Permitido solo con supervisión de personal.,,29/04/23,23/04/24,24,,Activo en óptimas condiciones.,22/12/15,09/09/25 23:20
123495,Pistola de salida,Pistola de salida dispositivo sonoro para carreras.,6582,,Áreas deportivas,Pistas,,Parque Tangamanga I,,,22.144,-101.019,CityInfra,SafePlay,SN-75408,Plástico,38 m²,08/12/22,13/06/22,10,Retirado,Malo,,24/07/21,404072,268785,Donación,Luis Romero,Jardinería,http://manuales.parques.org/infraestructura.pdf,Uso exclusivo dentro del parque.,,27/02/20,21/02/21,12,,Plan de mejora programado.,24/03/17,09/09/25 23:20
123496,Computadora de escritorio,Computadora de escritorio equipo fijo de oficina.,6583,,Edificaciones de servicio,Operativas,,Parque Metropolitano de Guadalajara,,,20.7167,-103.45,PlayTech,SafePlay,SN-58259,Mixto,109 m²,06/12/23,13/08/22,5,Activo,Bueno,,02/06/22,252298,76708,Concesión,Sofía Vargas,Administración,http://manuales.parques.org/mantenimientoX.pdf,Permitido solo con supervisión de personal.,,26/11/23,24/05/24,120,,Activo en óptimas condiciones.,17/08/16,09/09/25 23:20
123497,Laptop de coordinación,Laptop de coordinación dispositivo portátil para gestión.,6584,,Edificaciones de servicio,Operativas,,Parque Bicentenario,,,19.478,-99.198,GreenBuild,HydroX,SN-19006,Madera,194 m²,20/11/21,29/08/24,25,En Mantenimiento,Excelente,,12/01/21,134176,90102,Presupuesto municipal,Sofía Vargas,Eventos,http://manuales.parques.org/deportivo.pdf,Uso comunitario con previa reservación.,,13/02/24,07/02/25,24,,Revisión anual obligatoria.,29/03/16,09/09/25 23:20
123498,Servidor central de datos,Servidor central de datos sistema para almacenar información.,6585,,Edificaciones de servicio,Operativas,,Parque La Mexicana,,,19.36,-99.28,EcoPark Systems,HydroX,SN-76458,Madera,80 m²,28/09/22,03/08/23,15,Dañado,Regular,,10/08/19,43586,37950,Patrocinio,Sofía Vargas,Operación,http://manuales.parques.org/infraestructura.pdf,Uso comunitario con previa reservación.,,27/03/24,22/03/25,36,,Revisión anual obligatoria.,19/01/18,09/09/25 23:20
123499,Tableta de campo,Tableta de campo dispositivo móvil para inspecciones.,6586,,Áreas deportivas,Campos,,Parque Rufino Tamayo,,,25.65,-100.36,CityInfra,ProLine,SN-32775,Plástico,156 m²,09/11/25,27/04/24,25,Retirado,Malo,,11/10/19,384386,324625,Patrocinio,Ana Torres,Seguridad,http://manuales.parques.org/deportivo.pdf,Permitido solo con supervisión de personal.,,30/06/24,22/12/25,24,,Requiere inspección adicional en temporada de lluvias.,21/03/15,09/09/25 23:20
123500,Impresora multifuncional,Impresora multifuncional equipo para impresión y copias.,6587,,Edificaciones de servicio,Operativas,,Parque Central Ciudad Juárez,,,20.99,-89.63,SafeCity,EcoFlex,SN-72703,Acero,85 m²,06/01/25,08/04/25,5,Activo,Bueno,,12/10/17,308510,186186,Ingreso propio,Sofía Vargas,Administración,http://manuales.parques.org/mobiliario.pdf,Restringido en horarios nocturnos.,,09/10/21,04/10/22,36,,Plan de mejora programado.,04/09/19,09/09/25 23:20
123501,Escáner de documentos,Escáner de documentos máquina digitalizadora de archivos.,6588,,Edificaciones de servicio,Operativas,,Parque Guanajuato Bicentenario,,,21.02,-89.65,SafeCity,HydroX,SN-94004,Mixto,65 m²,15/02/24,09/06/25,15,En Mantenimiento,Excelente,,25/07/22,444628,344901,Presupuesto municipal,Ana Torres,Seguridad,http://manuales.parques.org/deportivo.pdf,Restringido en horarios nocturnos.,,14/04/24,06/10/25,60,,Revisión anual obligatoria.,21/09/16,09/09/25 23:20
123502,Pantalla de proyección,Pantalla de proyección superficie para presentaciones.,6589,,Edificaciones de servicio,Operativas,,Parque el Capitán,,,25.66521872,-100.360811,EcoPark Systems,EcoFlex,SN-45469,Mixto,17 m²,25/12/20,19/10/24,5,Dañado,Regular,,17/07/16,381450,334883,Presupuesto municipal,Sofía Vargas,Administración,http://manuales.parques.org/deportivo.pdf,Uso comunitario con previa reservación.,,27/10/20,25/04/21,12,,Pendiente de reposición de piezas menores.,24/05/16,09/09/25 23:20
123503,Proyector portátil,Proyector portátil dispositivo audiovisual transportable.,6590,,Edificaciones de servicio,Operativas,,Parque Metropolitano de León,,,31.72,-106.43,SafeCity,SafePlay,SN-66264,Madera,145 m²,19/10/22,27/03/24,25,Retirado,Malo,,10/09/15,222472,197719,Ingreso propio,Luis Romero,Operación,http://manuales.parques.org/deportivo.pdf,Uso exclusivo dentro del parque.,,04/09/23,29/08/24,12,,Plan de mejora programado.,13/06/18,09/09/25 23:20
123504,Sistema de cámaras IP,Sistema de cámaras IP red de vigilancia digital.,6591,,Equipamiento de seguridad,Monitoreo,,Gran Parque La Plancha,,,20.97844437,-89.61172739,SafeCity,UrbanMax,SN-71247,Acero,194 m²,28/10/24,16/09/22,10,Activo,Bueno,,07/10/15,430756,372438,Concesión,Ana Torres,Administración,http://manuales.parques.org/mobiliario.pdf,Restringido en horarios nocturnos.,,22/05/20,17/05/21,120,,Pendiente de reposición de piezas menores.,01/01/16,09/09/25 23:20
123505,Software de gestión,Software de gestión plataforma informática de control.,6592,,Edificaciones de servicio,Operativas,,Bosque Los Colomos,,,20.70504496,-103.3902293,UrbanPlay,EcoFlex,SN-83550,Plástico,154 m²,04/08/21,27/12/25,20,En Mantenimiento,Excelente,,19/04/20,407209,165638,Donación,María López,Operación,http://manuales.parques.org/infraestructura.pdf,Permitido solo con supervisión de personal.,,31/12/20,26/12/21,60,,Activo en óptimas condiciones.,12/01/20,09/09/25 23:20
123506,Escritorio modular,Escritorio modular mesa adaptable de oficina.,6593,,Edificaciones de servicio,Operativas,,Parque Las Ribieras ,,,24.82111084,-107.4005941,AquaSolutions,UrbanMax,SN-99811,Acero,81 m²,13/02/19,29/06/22,25,Dañado,Regular,,15/11/16,445993,205481,Patrocinio,Carlos Sánchez,Jardinería,http://manuales.parques.org/infraestructura.pdf,Restringido en horarios nocturnos.,,08/06/21,03/06/22,120,,Pendiente de reposición de piezas menores.,25/04/18,09/09/25 23:20
123507,Silla ergonómica,Silla ergonómica asiento diseñado para comodidad.,6594,,Edificaciones de servicio,Operativas,,Jardín Botánico de Culiacán,,,24.82376,-107.384967,PlayTech,UrbanMax,SN-79733,Plástico,106 m²,05/09/22,01/05/23,15,Retirado,Malo,,16/11/19,194400,60741,Presupuesto municipal,Carlos Sánchez,Mantenimiento,http://manuales.parques.org/infraestructura.pdf,Uso comunitario con previa reservación.,,07/05/20,29/10/21,120,,Activo en óptimas condiciones.,18/11/20,09/09/25 23:20
123508,Archivador metálico,Archivador metálico mueble para resguardar documentos.,6595,,Edificaciones de servicio,Operativas,,Parque Flor del Bosque,,,19.0211,-98.1011,PlayTech,X100,SN-95197,Mixto,26 m²,11/07/25,16/02/23,25,Activo,Bueno,,28/06/22,319936,242046,Ingreso propio,Juan Pérez,Operación,http://manuales.parques.org/infraestructura.pdf,Restringido en horarios nocturnos.,,14/02/20,12/08/20,120,,Plan de mejora programado.,30/09/19,09/09/25 23:20
